metric,breakdown_category,breakdown_category,felony,,Boone Adult Probation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,YEAR TO DATE,,,,,,,,,,,,,,,
,,,,F. Total Active ,256,257,264,263,264,262,253,280,282,282,288,285,269.7,,,,,,,,,,,,,,,
,,,,IX. COMMITMENTS TO DOC,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
,,,,Totals:,4,5,5,4,3,0,0,0,2,0,1,0,24,,,,,,,,,,,,,,,
,,,,X. INTERSTATE COMPACT ,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,
,,,,Totals:,9,9,9,10,9,10,8,7,8,8,8,10,8.8,,,,,,,,,,,,,,,
,,,,XII. ADMIN. CASELOAD,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,
active,admin,population,all,Active ,461,456,427,439,434,398,395,380,387,392,407,418,416.2,,,,,,,,,,,,,,,
inactive,admin,population,all,Inactive,451,480,489,482,483,460,461,462,465,457,460,461,467.6,,,,,,,,,,,,,,,
,,,,XI. CLASSIFICATION OF ACTIVE CASELOAD,,,,,,,,,,,,,Average,,,Percent Classification of Active Adults,,,,,,,,,,,,
felony - max,active,population,felony,A.1) Felony Max,14,13,13,14,14,14,14,14,16,16,15,16,14.4,,,,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
felony - med,active,population,felony,A.2) Felony Med,35,32,32,28,35,36,33,33,30,29,28,26,31.4,,,Total Felony,157,158,163,153,153,152,151,177,173,169,176,174
felony - min,active,population,felony,A.3) Felony Min,89,97,96,94,94,91,94,110,112,112,115,113,101.4,,,Felony Max,9%,8%,8%,9%,9%,9%,9%,8%,9%,9%,9%,9%
felony - unclassified,active,population,felony,A.4) Unclassified,19,16,22,17,10,11,10,20,15,12,18,19,15.8,,,Felony Med,22%,20%,20%,18%,23%,24%,22%,19%,17%,17%,16%,15%
,,,,A.5) Total Felony,157,158,163,153,153,152,151,177,173,169,176,174,163,,,Felony Min,57%,61%,59%,61%,61%,60%,62%,62%,65%,66%,65%,65%
misd max,active,population,other,B.1)Misd. Max,0,0,0,1,1,1,1,1,1,1,1,1,0.8,,,Felony Unclassified,12%,10%,13%,11%,7%,7%,7%,11%,9%,7%,10%,11%
misd med,active,population,other,B.2)Misd. Med,10,9,7,7,6,7,7,7,8,8,9,9,7.8,,,Total Misd.,57,54,56,63,60,63,58,63,68,71,73,72
misd min,active,population,other,B.3)Misd. Min,37,38,37,40,39,49,41,47,49,48,47,49,43.4,,,Misd. Max,0%,0%,0%,2%,2%,2%,2%,2%,1%,1%,1%,1%
misd unclassified,active,population,other,B.4) Unclassified,10,7,12,15,14,6,9,8,10,14,16,13,11.2,,,Misd. Med,18%,17%,13%,11%,10%,11%,12%,11%,12%,11%,12%,13%
,,,,B.5) Total Misd.,57,54,56,63,60,63,58,63,68,71,73,72,63.2,,,Misd. Min,65%,70%,66%,63%,65%,78%,71%,75%,72%,68%,64%,68%
dui max,active,population,other,C.1) DUI Max,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Misd. Unclassified,18%,13%,21%,24%,23%,10%,16%,13%,15%,20%,22%,18%
dui med,active,population,other,C.2) DUI Med,3,3,1,2,1,2,2,3,3,3,3,3,2.4,,,Total DUI,39,42,41,42,47,44,42,39,41,42,39,39
dui min,active,population,other,C.3) DUI Min,29,35,37,37,38,39,36,30,33,36,33,31,34.5,,,DUI Max,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
dui unclassified,active,population,other,C/4) Unclassified,7,4,3,3,8,3,4,6,5,3,3,5,4.5,,,DUI Med,8%,7%,2%,5%,2%,5%,5%,8%,7%,7%,8%,8%
,,,,C.5) Total DUI,39,42,41,42,47,44,42,39,41,42,39,39,41.4,,,DUI Min,74%,83%,90%,88%,81%,89%,86%,77%,80%,86%,85%,79%
traffic max,active,population,other,D.1) Traffic Max,0,0,0,0,0,0,0,0,0,0,0,0,0,,,DUI Unclassified,18%,10%,7%,7%,17%,7%,10%,15%,12%,7%,8%,13%
traffic med,active,population,other,D.2) Traffic Med,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Total Traffic,3,3,4,5,4,3,2,1,0,0,0,0
traffic min,active,population,other,D.3) Traffic Min,3,3,4,4,2,3,2,1,0,0,0,0,1.8,,,Traffic Max,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
traffic unclassified,active,population,other,D.4) Unclassified,0,0,0,1,2,0,0,0,0,0,0,0,0.3,,,Traffic Med,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,D.5) Total Traffic,3,3,4,5,4,3,2,1,0,0,0,0,2.1,,,Traffic Min,100%,100%,100%,80%,50%,100%,100%,100%,0%,0%,0%,0%
,,,,Total Max,14,13,13,15,15,15,15,15,17,17,16,17,15.2,,,Traffic Unclassified,0%,0%,0%,20%,50%,0%,0%,0%,0%,0%,0%,0%
,,,,Total Med,48,44,40,37,42,45,42,43,41,40,40,38,41.7,,,Total,256,257,264,263,264,262,253,280,282,282,288,285
,,,,Total Min,158,173,174,175,173,182,173,188,194,196,195,193,181.2,,,Total Max,5%,5%,5%,6%,6%,6%,6%,5%,6%,6%,6%,6%
,,,,Total Unclassified,36,27,37,36,34,20,23,34,30,29,37,37,31.7,,,Total Med,19%,17%,15%,14%,16%,17%,17%,15%,15%,14%,14%,13%
,,,,Total Active XI.,256,257,264,263,264,262,253,280,282,282,288,285,269.7,,,Total Min,62%,67%,66%,67%,66%,69%,68%,67%,69%,70%,68%,68%
,,,,F. Total Active Caseload VIII.,256,257,264,263,264,262,253,280,282,282,288,285,269.7,,,Total Unclassified,14%,11%,14%,14%,13%,8%,9%,12%,11%,10%,13%,13%
,,,,(XI) vs. (VIII),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,XIV. INVESTIGATIONS COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,A. PSI,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,psi,completed investigations,felony,a. Felony,3,1,3,3,2,0,1,2,2,1,0,1,19,,,,,,,,,,,,,,,
misdemeanor,psi,completed investigations,other,b. Misdemeanor,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
dui,psi,completed investigations,other,c. DUI,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
traffic,psi,completed investigations,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total PSI:,3,1,3,3,2,0,1,2,2,1,0,1,19,,,,,,,,,,,,,,,
,,,,B. Abbreviated PSI,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,abb psi,completed investigations,felony,a. Felony,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
misdemeanor,abb psi,completed investigations,other,b. Misdemeanor,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
dui,abb psi,completed investigations,other,c. DUI,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
traffic,abb psi,completed investigations,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total Abbr. PSI:,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,C. Pretrial Bond Report,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,pretrial bond release,completed investigations,felony,a. Felony,18,15,33,9,21,21,36,28,19,23,24,19,266,,,,,,,,,,,,,,,
misdemeanor,pretrial bond release,completed investigations,other,b. Misdemeanor,3,3,3,6,5,10,3,10,7,10,7,8,75,,,,,,,,,,,,,,,
dui,pretrial bond release,completed investigations,other,c. DUI,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
traffic,pretrial bond release,completed investigations,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total Pretrial:,21,18,36,15,26,31,39,38,26,33,31,27,341,,,,,,,,,,,,,,,
,,,,D. Record Check ,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,record check,completed investigations,felony,a. Felony,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
misdemeanor,record check,completed investigations,other,b. Misdemeanor,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
dui,record check,completed investigations,other,c. DUI,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
traffic,record check,completed investigations,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total Record Check:,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. JDP,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,jdp,completed investigations,felony,a. Felony,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
misdemeanor,jdp,completed investigations,other,b. Misdemeanor,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
dui,jdp,completed investigations,other,c. DUI,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
traffic,jdp,completed investigations,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total JDP:,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,F. Other (Explain),,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
felony,other,completed investigations,felony,a. Felony,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
misdemeanor,other,completed investigations,other,b. Misdemeanor,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
dui,other,completed investigations,other,c. DUI,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
traffic,other,completed investigations,other,d. Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,E. Total Other:,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,Total Investigations,24,19,39,18,28,31,40,40,28,34,31,28,360,,,,,,,,,,,,,,,
,,,,XIII. FULL-PRESENTENCE INVESTIGATIONS ORDERED/PENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number Ordered (total),5,3,5,2,0,2,2,3,1,2,2,3,30,,,,,,,,,,,,,,,
,,,,Number Pending (average),3,5,1,2,0,2,1,3,1,1,3,3,2,,,,,,,,,,,,,,,
,,,,XV. CASE VIOLATIONS REPORTED,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
technical,reported violations,reported violations,all,Technical,4,8,10,10,8,7,10,13,12,18,10,15,125,,,,,,,,,,,,,,,
new offense,reported violations,reported violations,all,New Offense,3,2,2,12,6,7,10,4,3,5,5,6,65,,,,,,,,,,,,,,,
,,,,Total:,7,10,12,22,14,14,20,17,15,23,15,21,190,,,,,,,,,,,,,,,
,,,,XVI. COURT ACTIONS ON VIOLATIONS,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,
technical,no revocation,court actions,all,No Violation-Tech.,3,1,1,0,1,0,0,7,5,1,1,1,21,,,,,,,,,,,,,,,
technical,revocation,court actions,all,Violation - Tech.,0,6,4,7,3,7,5,1,3,4,0,1,41,,,,,,,,,,,,,,,
,,,,Total:,3,7,5,7,4,7,5,8,8,5,1,2,62,,,,,,,,,,,,,,,
new offense,no revocation,court actions,all,No Violation-New ,0,0,0,0,0,0,0,0,1,0,1,2,4,,,,,,,,,,,,,,,
new offense,revocation,court actions,all,Violation - New ,0,2,1,3,2,4,4,0,0,0,0,2,18,,,,,,,,,,,,,,,
,,,,Total:,0,2,1,3,2,4,4,0,1,0,1,4,22,,Back To Top,,,,,,,,,,,,,
