metric,breakdown_category,breakdown_category,felony,,Boone Adult Probation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,YEAR TO DATE,,,,,,,,,,,,,,,
hs grad,background at offense,background at offense,other,2B) H.S. Grad. - Other,7,3,6,17,8,3,5,5,6,4,8,7,79,,,,,,,,,,,,,,,
,,,,E. FELONY OFFENSE CLASSIFICATION,,,,,,,,,,,,,Totals,,,,,,,,,,,,,,,
class 1,felony class,felony class,felony,1) Felony Class 1,1,0,1,0,0,0,0,1,0,1,1,0,5,,,,,,,,,,,,,,,
class 2,felony class,felony class,felony,2) Felony Class 2,3,1,5,1,3,3,3,1,3,3,3,3,32,,,,,,,,,,,,,,,
class 3,felony class,felony class,felony,3) Felony Class 3,4,4,7,2,2,0,1,6,5,1,2,6,40,,,,,,,,,,,,,,,
class 4,felony class,felony class,felony,4) Felony Class 4,12,8,12,6,11,7,10,11,8,10,13,9,117,,,,,,,,,,,,,,,
other,felony class,felony class,other,5) Other:,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,7) Total:,20,13,25,9,16,10,14,19,16,15,19,18,194,,,,,,,,,,,,,,,
,,,,Gender: (II.A) vs Intake (I),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,Age: (II.B) vs Intake (I),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,Race: (II.A) vs Intake (I),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,Felony Class. (II.E) vs F.Intakes:,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,,,III. RESTITUTION AND FEES ORDERED (ACTIVE AND ADMINISTRATIVE),,,,,,,,,,,,,Totals,,,,,,,,,,,,,,,
new cases ordered restit,rest and fees,rest and fees,all,A. New Cases Ordered to Pay Restitution,1,2,5,2,6,0,1,3,2,1,3,2,28,,,,,,,,,,,,,,,
